meanRMSE,sdRMSE,methods,year,beach,maxBS
3.84334897636111,1.601009067602,LM AggOut,2009,1,1
7.72592314194604,4.63572084219886,LM full,2009,1,1
3.0760114324451,1.23007523500541,KNN AggOut,2009,1,1
2.83688145036625,1.18937384805964,KNN full,2009,1,1
2.81500245468089,1.20843330453534,SVR AggOut,2009,1,1
2.72403890039928,1.03546100352278,SVR full,2009,1,1
0.798605745883651,0.449156789750626,LM AggOut,2009,2,1
1.8802299074835,1.40118725826264,LM full,2009,2,1
1.1,0.514105447124632,KNN AggOut,2009,2,1
1.56990115938539,0.458359097364795,KNN full,2009,2,1
0.992463615738443,0.376030744181706,SVR AggOut,2009,2,1
1.27242298386935,0.510679796825919,SVR full,2009,2,1
1.38549906129153,0.351202788819508,LM AggOut,2009,3,1
9.25286328790117,9.71892528223121,LM full,2009,3,1
0.999053383619508,0.387937268600764,KNN AggOut,2009,3,1
0.920120818113531,0.385726006452558,KNN full,2009,3,1
1.1605553674086,0.348302219917796,SVR AggOut,2009,3,1
1.29689141193151,0.384043184379193,SVR full,2009,3,1
0.172894503703348,8.34242401055671,LM AggOut,2009,4,1
0.78664418118825,0.308598128434746,LM full,2009,4,1
0.216,0.214692566147931,KNN AggOut,2009,4,1
0.19875,0.0839338904089621,KNN full,2009,4,1
0.307696223517689,0.0872481855506075,SVR AggOut,2009,4,1
0.225003134831861,0.101253227034294,SVR full,2009,4,1
0.727289336262209,0.290405947490186,LM AggOut,2009,5,1
1.28694121196831,0.55687720020315,LM full,2009,5,1
0.76655518385823,0.305851063152792,KNN AggOut,2009,5,1
0.786336008651176,0.276992084577256,KNN full,2009,5,1
0.688324728805733,0.313907878550336,SVR AggOut,2009,5,1
0.728072776125161,0.312530058611823,SVR full,2009,5,1
2.42694534210681,1.00395584624921,LM AggOut,2009,6,1
6.21835545684205,5.44465581823001,LM full,2009,6,1
3.25918061427355,1.29072907072567,KNN AggOut,2009,6,1
2.57199906609057,1.09456595652891,KNN full,2009,6,1
2.17249443154552,1.2058141873068,SVR AggOut,2009,6,1
2.21414584366379,1.35165708145637,SVR full,2009,6,1
1.67216965761653,0.336738492054452,LM AggOut,2009,7,1
1.91360323053692,0.301331134552451,LM full,2009,7,1
1.8471213100979,0.358653587547898,KNN AggOut,2009,7,1
1.83254428366056,0.331027440282263,KNN full,2009,7,1
1.68089837900192,0.337194243941927,SVR AggOut,2009,7,1
1.68720243506038,0.325347004820483,SVR full,2009,7,1
3.96082995298152,1.55283502714341,LM AggOut,2009,1,2
7.40288876223573,4.57655305802475,LM full,2009,1,2
3.48152579400532,1.26337400561664,KNN AggOut,2009,1,2
2.79118842799696,1.17353512529151,KNN full,2009,1,2
3.28796072929284,1.37492000652062,SVR AggOut,2009,1,2
2.72403890039928,1.03546100352278,SVR full,2009,1,2
1.6071194319155,0.766352706077411,LM AggOut,2009,2,2
1.6858951123588,1.35603878303947,LM full,2009,2,2
1.56635947342875,0.81582085641589,KNN AggOut,2009,2,2
1.65253545919445,0.480578619573618,KNN full,2009,2,2
1.68608560726926,0.843066060683241,SVR AggOut,2009,2,2
1.27242298386935,0.510679796825919,SVR full,2009,2,2
1.21911674619522,0.423014955093853,LM AggOut,2009,3,2
7.91622088445273,13.1882825529248,LM full,2009,3,2
1.06743673776625,0.420535710932066,KNN AggOut,2009,3,2
0.927194092824962,0.399312981704604,KNN full,2009,3,2
1.15835836757814,0.478561631620194,SVR AggOut,2009,3,2
1.29689141193151,0.384043184379193,SVR full,2009,3,2
0.451001743819755,0.267588226873254,LM AggOut,2009,4,2
0.78664418118825,0.308598128434746,LM full,2009,4,2
0.734,0.198887107758781,KNN AggOut,2009,4,2
0.19875,0.0839338904089621,KNN full,2009,4,2
0.831396022350637,0.40476728012918,SVR AggOut,2009,4,2
